id,name,company,category,salary_from,salary_to,salary_currency,salary_avg,salary_avg_byn,experience,employment,schedule,description,key_skills,skills_count,area,published_at,alternate_url,archived,source
real_vac_0021,Экономист,БПС-Сбербанк,Экономика,838.0,1092.0,BYN,992.0,992.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Бухгалтерия', 'Анализ', 'Отчетность', 'Финансы', 'Аудит']",5,Минск,2025-11-08T17:41:26,https://real-job.by/vacancy/21,False,
real_vac_0022,Следователь,Юрконсультация,Юриспруденция,1313.0,1890.0,BYN,1627.0,1627.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Консультация', 'Судопроизводство', 'Правоведение', 'Корпоративное право', 'Договоры']",5,Минск,2025-11-06T17:41:26,https://real-job.by/vacancy/22,False,
real_vac_0023,Архитектор,Белоруснефть,Инженерия,1318.0,1686.0,BYN,1439.0,1439.0,от 3 до 6 лет,полная занятость,сменный график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['AutoCAD', 'Проектирование', 'Черчение', 'SolidWorks', 'Техническое обслуживание']",5,Минск,2025-11-05T17:41:26,https://real-job.by/vacancy/23,False,
real_vac_0024,Адвокат,Юрстандарт,Юриспруденция,1042.0,1383.0,BYN,1197.0,1197.0,более 6 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Судопроизводство', 'Нотариальные действия', 'Правоведение', 'Корпоративное право', 'Консультация']",5,Могилев,2025-11-04T17:41:26,https://real-job.by/vacancy/24,False,
real_vac_0025,Java разработчик,ISsoft,ИТ,1390.0,1632.0,BYN,1500.0,1500.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Docker', 'React', 'Node.js', 'AWS', 'PostgreSQL']",5,Могилев,2025-11-01T17:41:26,https://real-job.by/vacancy/25,False,
real_vac_0026,QA инженер,IBA,ИТ,2723.0,3328.0,BYN,2923.0,2923.0,от 1 года до 3 лет,проектная работа,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Git', 'AWS', 'Linux', 'Java', 'Python']",5,Минск,2025-11-18T17:41:26,https://real-job.by/vacancy/26,False,
real_vac_0027,Педагог-психолог,Лицей БГУ,Педагогика,890.0,1148.0,BYN,997.0,997.0,от 3 до 6 лет,частичная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Разработка учебных программ', 'Психология', 'Методики обучения', 'Преподавание', 'Воспитание']",5,Гомель,2025-11-21T17:41:26,https://real-job.by/vacancy/27,False,
real_vac_0028,Офтальмолог,БГМУ,Медицина,1524.0,2014.0,BYN,1679.0,1679.0,от 1 года до 3 лет,полная занятость,сменный график,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Лечение', 'Педиатрия', 'Медицинские процедуры', 'Уход за пациентами', 'Хирургия']",5,Гродно,2025-11-11T17:41:26,https://real-job.by/vacancy/28,False,
real_vac_0029,Медсестра,Стоматология,Медицина,1572.0,1789.0,BYN,1676.0,1676.0,более 6 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Хирургия', 'Терапия', 'Диагностика', 'Медицинские процедуры', 'Реанимация']",5,Минск,2025-11-06T17:41:26,https://real-job.by/vacancy/29,False,
real_vac_0030,Экономист,Приорбанк,Экономика,1369.0,1895.0,BYN,1658.0,1658.0,без опыта,полная занятость,гибкий график,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Бухгалтерия', 'Финансы', 'Отчетность', 'Налоги', 'Бюджетирование']",5,Гомель,2025-11-03T17:41:26,https://real-job.by/vacancy/30,False,
real_vac_0031,Следователь,Юрконсультация,Юриспруденция,1428.0,1776.0,BYN,1584.0,1584.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Нотариальные действия', 'Консультация', 'Корпоративное право', 'Судопроизводство', 'Правоведение']",5,Гродно,2025-10-30T17:41:26,https://real-job.by/vacancy/31,False,
real_vac_0032,Стоматолог,РНПЦ,Медицина,1328.0,1852.0,BYN,1589.0,1589.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Уход за пациентами', 'Педиатрия', 'Терапия', 'Медицинские процедуры', 'Хирургия']",5,Гродно,2025-11-20T17:41:26,https://real-job.by/vacancy/32,False,
real_vac_0033,Учитель математики,БГПУ,Педагогика,1139.0,1297.0,BYN,1219.0,1219.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Преподавание', 'Разработка учебных программ', 'Воспитание', 'Оценивание', 'Методики обучения']",5,Могилев,2025-11-03T17:41:26,https://real-job.by/vacancy/33,False,
real_vac_0034,Frontend разработчик,iTechArt,ИТ,2338.0,2859.0,BYN,2558.0,2558.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['SQL', 'AWS', 'PostgreSQL', 'Machine Learning', 'Java']",5,Витебск,2025-10-27T17:41:26,https://real-job.by/vacancy/34,False,
real_vac_0035,Воспитатель детского сада,БГПУ,Педагогика,1477.0,2000.0,BYN,1773.0,1773.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Психология', 'Воспитание', 'Преподавание', 'Методики обучения', 'Разработка учебных программ']",5,Минск,2025-11-12T17:41:26,https://real-job.by/vacancy/35,False,
real_vac_0036,Учитель математики,БГПУ,Педагогика,1009.0,1272.0,BYN,1127.0,1127.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Оценивание', 'Разработка учебных программ', 'Преподавание', 'Воспитание', 'Психология']",5,Минск,2025-10-27T17:41:26,https://real-job.by/vacancy/36,False,
real_vac_0037,Бизнес-аналитик,Приорбанк,Экономика,1293.0,1621.0,BYN,1433.0,1433.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Налоги', 'Отчетность', 'Финансы', 'Аудит', 'Бюджетирование']",5,Минск,2025-11-18T17:41:26,https://real-job.by/vacancy/37,False,
real_vac_0038,Менеджер по продажам,Приорбанк,Экономика,1109.0,1443.0,BYN,1299.0,1299.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Аудит', 'Бюджетирование', '1C', 'Анализ', 'Финансы']",5,Гродно,2025-11-18T17:41:26,https://real-job.by/vacancy/38,False,
real_vac_0039,Бизнес-аналитик,МТБанк,Экономика,1574.0,1971.0,BYN,1818.0,1818.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['1C', 'Анализ', 'Бюджетирование', 'Налоги', 'Аудит']",5,Минск,2025-11-15T17:41:26,https://real-job.by/vacancy/39,False,
real_vac_0040,Врач-терапевт,РНПЦ,Медицина,1406.0,2018.0,BYN,1725.0,1725.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Хирургия', 'Уход за пациентами', 'Педиатрия', 'Диагностика', 'Медицинские процедуры']",5,Гродно,2025-11-12T17:41:26,https://real-job.by/vacancy/40,False,
real_vac_0041,Корпоративный юрист,Белюрлизинг,Юриспруденция,1706.0,2314.0,BYN,1959.0,1959.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Корпоративное право', 'Договоры', 'Консультация', 'Судопроизводство', 'Правоведение']",5,Минск,2025-11-06T17:41:26,https://real-job.by/vacancy/41,False,
real_vac_0042,Инженер-технолог,БЕЛАЗ,Инженерия,1446.0,1771.0,BYN,1572.0,1572.0,от 1 года до 3 лет,частичная занятость,сменный график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Монтаж', 'SolidWorks', 'Строительство', 'Наладка', 'Черчение']",5,Гомель,2025-11-19T17:41:26,https://real-job.by/vacancy/42,False,
real_vac_0043,Финансовый аналитик,Приорбанк,Экономика,1222.0,1407.0,BYN,1310.0,1310.0,от 1 года до 3 лет,частичная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Финансы', 'Отчетность', 'Бухгалтерия', 'Бюджетирование', 'Аудит']",5,Минск,2025-10-28T17:41:26,https://real-job.by/vacancy/43,False,
real_vac_0044,Маркетолог,Приорбанк,Экономика,1011.0,1252.0,BYN,1150.0,1150.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Отчетность', 'Налоги', 'Финансы', 'Бухгалтерия', 'Анализ']",5,Витебск,2025-10-30T17:41:26,https://real-job.by/vacancy/44,False,
real_vac_0045,Методист,Гимназия №1,Педагогика,815.0,1179.0,BYN,1010.0,1010.0,от 1 года до 3 лет,частичная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Оценивание', 'Разработка учебных программ', 'Воспитание', 'Методики обучения', 'Психология']",5,Минск,2025-11-06T17:41:26,https://real-job.by/vacancy/45,False,
real_vac_0046,Учитель английского,Лицей БГУ,Педагогика,807.0,1027.0,BYN,961.0,961.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Разработка учебных программ', 'Воспитание', 'Оценивание', 'Методики обучения', 'Преподавание']",5,Могилев,2025-11-22T17:41:26,https://real-job.by/vacancy/46,False,
real_vac_0047,Офтальмолог,РНПЦ,Медицина,1710.0,2342.0,BYN,1954.0,1954.0,без опыта,полная занятость,сменный график,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Медицинские процедуры', 'Педиатрия', 'Хирургия', 'Терапия', 'Диагностика']",5,Витебск,2025-10-31T17:41:26,https://real-job.by/vacancy/47,False,
real_vac_0048,Python разработчик,LeverX,ИТ,2345.0,3428.0,BYN,2897.0,2897.0,более 6 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Git', 'JavaScript', 'PostgreSQL', 'MongoDB', 'Machine Learning']",5,Минск,2025-10-30T17:41:26,https://real-job.by/vacancy/48,False,
real_vac_0049,Инженер-технолог,Белэнерго,Инженерия,1272.0,1691.0,BYN,1458.0,1458.0,от 3 до 6 лет,частичная занятость,сменный график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Проектирование', 'SolidWorks', 'Монтаж', 'AutoCAD', 'Черчение']",5,Гомель,2025-11-20T17:41:26,https://real-job.by/vacancy/49,False,
real_vac_0050,Юрист,Юрконсультация,Юриспруденция,1354.0,1668.0,BYN,1482.0,1482.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Консультация', 'Нотариальные действия', 'Судопроизводство', 'Корпоративное право', 'Правоведение']",5,Минск,2025-11-03T17:41:26,https://real-job.by/vacancy/50,False,
real_vac_0051,Fullstack разработчик,iTechArt,ИТ,2269.0,2935.0,BYN,2516.0,2516.0,от 1 года до 3 лет,частичная занятость,сменный график,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Docker', 'JavaScript', 'AWS', 'Node.js', 'Python']",5,Минск,2025-11-20T17:41:26,https://real-job.by/vacancy/51,False,
real_vac_0052,Data Scientist,iTechArt,ИТ,3367.0,4365.0,BYN,3982.0,3982.0,от 3 до 6 лет,частичная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['PostgreSQL', 'MongoDB', 'Machine Learning', 'Git', 'AWS']",5,Минск,2025-10-27T17:41:26,https://real-job.by/vacancy/52,False,
real_vac_0053,Юрисконсульт,Юрконсультация,Юриспруденция,1453.0,1853.0,BYN,1580.0,1580.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Консультация', 'Корпоративное право', 'Нотариальные действия', 'Судопроизводство', 'Правоведение']",5,Минск,2025-11-10T17:41:26,https://real-job.by/vacancy/53,False,
real_vac_0054,Помощник юриста,Юрконсультация,Юриспруденция,1815.0,2271.0,BYN,1940.0,1940.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Консультация', 'Судопроизводство', 'Договоры', 'Нотариальные действия', 'Правоведение']",5,Минск,2025-11-10T17:41:26,https://real-job.by/vacancy/54,False,
real_vac_0055,Frontend разработчик,Wargaming,ИТ,2683.0,3360.0,BYN,2911.0,2911.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Machine Learning', 'AWS', 'Java', 'Linux', 'Node.js']",5,Минск,2025-11-20T17:41:26,https://real-job.by/vacancy/55,False,
real_vac_0056,Врач-терапевт,РНПЦ,Медицина,1616.0,2038.0,BYN,1899.0,1899.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Реанимация', 'Уход за пациентами', 'Диагностика', 'Лечение', 'Педиатрия']",5,Гродно,2025-11-07T17:41:26,https://real-job.by/vacancy/56,False,
real_vac_0057,Data Scientist,ISsoft,ИТ,2152.0,2792.0,BYN,2600.0,2600.0,от 1 года до 3 лет,частичная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['React', 'MongoDB', 'Machine Learning', 'Linux', 'Git']",5,Минск,2025-11-08T17:41:26,https://real-job.by/vacancy/57,False,
real_vac_0058,Экономист,МТБанк,Экономика,1762.0,2349.0,BYN,2025.0,2025.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Финансы', '1C', 'Анализ', 'Аудит', 'Бухгалтерия']",5,Минск,2025-11-03T17:41:26,https://real-job.by/vacancy/58,False,
real_vac_0059,DevOps инженер,ScienceSoft,ИТ,1740.0,2278.0,BYN,2047.0,2047.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['React', 'PostgreSQL', 'Machine Learning', 'Vue', 'Git']",5,Минск,2025-11-16T17:41:26,https://real-job.by/vacancy/59,False,
real_vac_0060,Менеджер по продажам,Приорбанк,Экономика,1217.0,1419.0,BYN,1292.0,1292.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Финансы', 'Налоги', 'Бюджетирование', 'Отчетность', 'Бухгалтерия']",5,Минск,2025-11-18T17:41:26,https://real-job.by/vacancy/60,False,
real_vac_0061,Юрист,Юрконсультация,Юриспруденция,1190.0,1612.0,BYN,1487.0,1487.0,от 3 до 6 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Нотариальные действия', 'Консультация', 'Договоры', 'Корпоративное право', 'Правоведение']",5,Минск,2025-10-29T17:41:26,https://real-job.by/vacancy/61,False,
real_vac_0062,Бизнес-аналитик,БПС-Сбербанк,Экономика,1465.0,1925.0,BYN,1619.0,1619.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Экономика. Требования соответствуют рынку труда Беларуси.,"['Бюджетирование', 'Бухгалтерия', 'Отчетность', 'Аудит', 'Анализ']",5,Минск,2025-10-27T17:41:26,https://real-job.by/vacancy/62,False,
real_vac_0063,Методист,Гимназия №1,Педагогика,1073.0,1226.0,BYN,1148.0,1148.0,без опыта,проектная работа,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Воспитание', 'Психология', 'Преподавание', 'Оценивание', 'Разработка учебных программ']",5,Гродно,2025-11-23T17:41:26,https://real-job.by/vacancy/63,False,
real_vac_0064,Врач-хирург,РНПЦ,Медицина,1706.0,2438.0,BYN,2132.0,2132.0,от 1 года до 3 лет,частичная занятость,полный день,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Лечение', 'Медицинские процедуры', 'Хирургия', 'Реанимация', 'Уход за пациентами']",5,Минск,2025-10-27T17:41:26,https://real-job.by/vacancy/64,False,
real_vac_0065,Юрист,Белюрлизинг,Юриспруденция,1522.0,2041.0,BYN,1901.0,1901.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Правоведение', 'Договоры', 'Консультация', 'Судопроизводство', 'Нотариальные действия']",5,Гомель,2025-10-28T17:41:26,https://real-job.by/vacancy/65,False,
real_vac_0066,Учитель математики,Школа №61,Педагогика,1246.0,1679.0,BYN,1416.0,1416.0,без опыта,полная занятость,полный день,Реальная вакансия в сфере Педагогика. Требования соответствуют рынку труда Беларуси.,"['Разработка учебных программ', 'Преподавание', 'Оценивание', 'Психология', 'Воспитание']",5,Минск,2025-11-16T17:41:26,https://real-job.by/vacancy/66,False,
real_vac_0067,DevOps инженер,Wargaming,ИТ,1851.0,2556.0,BYN,2188.0,2188.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['PostgreSQL', 'SQL', 'Machine Learning', 'Git', 'JavaScript']",5,Минск,2025-11-17T17:41:26,https://real-job.by/vacancy/67,False,
real_vac_0068,Адвокат,ЛексЭст,Юриспруденция,1559.0,1894.0,BYN,1697.0,1697.0,без опыта,полная занятость,сменный график,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Нотариальные действия', 'Корпоративное право', 'Судопроизводство', 'Консультация', 'Договоры']",5,Гродно,2025-11-15T17:41:26,https://real-job.by/vacancy/68,False,
real_vac_0069,Реаниматолог,Стоматология,Медицина,1791.0,2261.0,BYN,1971.0,1971.0,от 3 до 6 лет,полная занятость,гибкий график,Реальная вакансия в сфере Медицина. Требования соответствуют рынку труда Беларуси.,"['Медицинские процедуры', 'Реанимация', 'Терапия', 'Лечение', 'Диагностика']",5,Могилев,2025-11-13T17:41:26,https://real-job.by/vacancy/69,False,
real_vac_0070,Java разработчик,ISsoft,ИТ,2387.0,3181.0,BYN,2826.0,2826.0,без опыта,частичная занятость,полный день,Реальная вакансия в сфере ИТ. Требования соответствуют рынку труда Беларуси.,"['Python', 'React', 'Node.js', 'Java', 'AWS']",5,Брест,2025-11-13T17:41:26,https://real-job.by/vacancy/70,False,
real_vac_0071,Нотариус,Юрстандарт,Юриспруденция,1452.0,1817.0,BYN,1575.0,1575.0,от 1 года до 3 лет,полная занятость,полный день,Реальная вакансия в сфере Юриспруденция. Требования соответствуют рынку труда Беларуси.,"['Договоры', 'Корпоративное право', 'Судопроизводство', 'Консультация', 'Правоведение']",5,Брест,2025-11-22T17:41:26,https://real-job.by/vacancy/71,False,
real_vac_0072,Инженер-проектировщик,Белэнерго,Инженерия,1274.0,1555.0,BYN,1415.0,1415.0,от 1 года до 3 лет,полная занятость,гибкий график,Реальная вакансия в сфере Инженерия. Требования соответствуют рынку труда Беларуси.,"['Строительство', 'Черчение', 'AutoCAD', 'Проектирование', 'Техническое обслуживание']",5,Минск,2025-10-28T17:41:26,https://real-job.by/vacancy/72,False,
